rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54485042,신입,2026-07-19 15:46:59,2026-07-16,등록일,더케이텍(주),동국대학교 일산병원 원무팀 직원 모집,"원무, ,, 한방병원",경기 고양시 일산동구,경력무관,초대졸↑,정규직,~07/24(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54485042
54245662,신입,2026-07-19 15:46:59,2026-07-14,수정일,(주)사람인에이치에스,(정규직/무기계약)금융권 대표이사 비서 채용,"송무비서, ,, 회계, ,, 수행비서, ,, ERP, ,, 안내데스크, 외",서울전체,경력무관,학력무관,계약직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54245662
54427334,신입,2026-07-19 15:46:59,2026-07-10,등록일,(주)고암,(주)고암 강남구립행복요양병원 미화원 모집,"미화원, ,, 시설관리",서울 강남구,경력무관,학력무관,계약직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54427334
54230523,신입,2026-07-19 15:46:59,2026-07-15,수정일,에이스휴먼파워(주),신한카드 역삼[야간 카드분실/도난 접수/결제 승인] #신입#영업X,"해피콜, ,, 안내데스크, ,, 텔레마케터, ,, 인바운드, ,, 콜센터/고객센터, 외",서울전체,경력무관,학력무관,파견직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54230523
54404791,신입,2026-07-19 15:46:59,2026-07-08,등록일,퍼솔코리아(유),[일산] 주한영국문화원 SCME(상담컨설턴트) 채용,"유아영어학원, ,, 어학원, ,, 학습상담, ,, 파견대행",경기 고양시 덕양구,경력무관,초대졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54404791
54389878,신입,2026-07-19 15:46:59,2026-07-07,등록일,(주)현대에쓰앤에쓰,[오목교역] 현대백화점 목동점 경호경비 안전요원 정규채용(주5),"경비원, ,, 백화점, ,, 경호원, ,, 현금호송, ,, 매장관리, 외",서울 양천구,경력무관,고졸↑,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54389878
54477364,신입,2026-07-19 15:46:59,2026-07-15,등록일,(주)교원구몬,(주)교원구몬 유아·초등 회원학습관리 채용 공고,"공부방교사, ,, 학원강사, ,, 방과후교사, ,, 보조강사, ,, 학습매니저, 외",경기 성남시 분당구,경력무관,초대졸↑,프리랜서,~08/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54477364
54394825,신입,2026-07-19 15:46:59,2026-07-07,수정일,(주)맨파워그룹코리아,[맨파워코리아] 소형가전 브랜드 교육 담당자 채용,"온라인교육, ,, 교육콘텐츠기획, ,, 교육콘텐츠개발, ,, 교육운영, ,, CS강사, 외",서울 강남구,경력무관,학력무관,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54394825
54468706,신입,2026-07-19 15:46:59,2026-07-16,수정일,백상코퍼레이션(주),"장지역 빌딩 오후조 미화원, 청소원 모집","청소, ,, 시설관리",서울 송파구,경력1년↑,학력무관,계약직,~07/28(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54468706
54416695,신입,2026-07-19 15:46:59,2026-07-09,등록일,(주)맨파워그룹코리아,[수원/1Y] 유명 글로벌 반도체기업 Engineering Technician,"QA/테스터, ,, S/W, ,, 트러블슈팅, ,, 임베디드, ,, 펌웨어, 외",경기 수원시 영통구,경력무관,대졸↑,,~07/21(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54416695
