job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6238300,신입,2026-07-20 01:20:09,2026-07-10,한온시스템,구매지원,,경기 성남,인턴.신입 / 사원,,07.24,https://www.peoplenjob.com/jobs/6238300
6237534,신입,2026-07-20 01:20:09,2026-07-09,알파사이츠,[글로벌기업] 주요 고객사 프로젝트 담당자 신입 및 주니어 경력 채용 (9월 입사),,서울 중구,인턴.신입,,08.08,https://www.peoplenjob.com/jobs/6237534
6237533,신입,2026-07-20 01:20:09,2026-07-09,알파사이츠,글로벌 로테이션(서울/런던) 주요 고객사 프로젝트 담당자 신입 채용,,서울 중구,인턴.신입,,08.08,https://www.peoplenjob.com/jobs/6237533
6237532,신입,2026-07-20 01:20:09,2026-07-09,알파사이츠,[글로벌기업] 2026 Client Service Trainee 프로그램 참여자 공개 모집,,"Jung-gu,Seoul-서울 중구",인턴.신입 / 대리.과장,,08.08,https://www.peoplenjob.com/jobs/6237532
6237491,신입,2026-07-20 01:20:09,2026-07-09,Deloitte,[딜로이트 안진회계법인] 회계감사부문 Digital Assurance SAP 및 ERP specialist 경력직,,서울 영등포구,인턴.신입 / 사원 / 대리.과장,,08.06,https://www.peoplenjob.com/jobs/6237491
6236941,신입,2026-07-20 01:20:09,2026-07-08,Air Liquide Korea,[상시 채용] 홈헬스케어 부문 신입 및 경력직 모집 - 전국 8개 지사,,서울 / 광주 / 부산,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6236941
6236774,신입,2026-07-20 01:20:09,2026-07-08,Merck Ltd. Korea,"[Merck Korea] Junior Field Service Engineer (신입 가능, 가스/케미칼 공급 장치)",,경기 / 경기 안산,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6236774
6237102,신입,2026-07-20 01:20:09,2026-07-08,Air Liquide Korea,[홈헬스케어] 의료장비 기술지원 엔지니어 (신입 가능),,서울 / 경기 / 인천,인턴.신입,,08.07,https://www.peoplenjob.com/jobs/6237102
6236935,신입,2026-07-20 01:20:09,2026-07-08,Air Liquide Korea,[바이탈에어코리아] 부산 홈헬스케어 영업직 (신입 가능/교육 제공),,부산,인턴.신입 / 사원 / 대리.과장,,08.07,https://www.peoplenjob.com/jobs/6236935
6236719,신입,2026-07-20 01:20:09,2026-07-08,한국애보트,[애보트메디칼코리아] EP Field Clinical Engineer  (Sales Rep) - 신입,,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6236719
