rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크,매칭타겟명
54493970,신입,2026-07-19 15:46:59,2026-07-17,등록일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT플라자 영업사원 정규직 채용합니다(동탄),"핸드폰영업, ,, 매장관리, ,, 고객응대, ,, 핸드폰판매, ,, IT·통신기기판매",경기 화성시,경력무관,학력무관,정규직,~08/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54493970,케이티
54486592,신입,2026-07-19 15:46:59,2026-07-16,등록일,(주)마니커,[동두천 공장] 닭고기는 마니커 생산부문 관리직 채용,"생산관리, ,, 제조가공, ,, 식품가공",서울전체,경력무관,학력무관,정규직,~07/30(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54486592,마니커
54494772,신입,2026-07-19 15:46:59,2026-07-17,수정일,(주)케이티엠앤에스,[(주)케이티엠앤에스] KT플라자 매장근무 경력무관 모집합니다,"통신기기판매, ,, IT·통신기기판매",경기 용인시 기흥구,경력무관,고졸↑,정규직,~08/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54494772,케이티
54430946,신입,2026-07-19 15:46:59,2026-07-10,등록일,(주)케이티엠앤에스,(주)KTPLAZA 수내역직영점 정규직 공개채용(분당 전지역),"매장매니저, ,, IT·통신기기판매",경기 성남시 분당구,경력무관,학력무관,정규직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54430946,케이티
54432839,신입,2026-07-19 15:46:59,2026-07-10,등록일,(주)케이티엠앤에스,KTPLAZA 오산/동탄 정규직 채용,"판매직, ,, CS, ,, IT·통신기기판매",경기 안성시,경력무관,고졸↑,정규직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54432839,케이티
54464650,신입,2026-07-19 15:46:59,2026-07-14,등록일,한솔제지(주),[한솔제지(주) 환경사업본부] 평택에코센터 에너지화반 (교대),"기계조작원, ,, 폐수처리장관리, ,, 폐기물처리기사, ,, 수질환경기사, ,, 환경플랜트, 외",경기 평택시,경력무관,고졸↑,계약직,~08/13(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54464650,한솔제지
54485497,신입,2026-07-19 15:46:59,2026-07-16,등록일,(주)현대이지웰,현대이지웰 고객센터 상담사 채용,"주문상담, ,, 상담원, ,, 전화상담, ,, 배송상담, ,, 민원상담, 외",서울 서대문구,경력무관,학력무관,,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54485497,현대이지웰
54493607,신입,2026-07-19 15:46:59,2026-07-17,등록일,(주)케이티엠앤에스,KT직영매장 용인상권 직원모집,"통신기기판매, ,, 매장관리, ,, 핸드폰판매, ,, 판매직, ,, IT·통신기기판매",경기 용인시 수지구,경력무관,학력무관,정규직,~08/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54493607,케이티
54360497,신입,2026-07-19 15:46:59,2026-07-03,등록일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT플라자 영업직 채용합니다(오산/동탄),"핸드폰영업, ,, 매장관리, ,, 고객응대, ,, 핸드폰판매, ,, IT·통신기기판매",경기 화성시,경력무관,학력무관,정규직,~08/02(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54360497,케이티
54318418,신입,2026-07-19 15:46:59,2026-06-30,수정일,㈜서흥,생산직 신입사원 모집 - 오송1공장,"단순생산직, ,, 품질분석, ,, 생산관리, ,, 품질보증, ,, 외관검사원, 외",서울전체,신입,고졸↑,정규직,~08/29(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54318418,서흥
