job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크,매칭타겟명
49424143,신입,2026-07-20 00:19:07,2026-07-20,한일철강㈜,[코스피/중견] 한일철강(주) 철강영업 신입 및 경력사원 채용,신입·경력3년↑,서울 중구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49424143,한일철강
49428059,신입,2026-07-20 00:19:07,2026-07-20,감성코퍼레이션㈜,[snow peak어패럴] 영업부(백화점 영업) 신입/ 경력직 채용,"섬유·의류·패션, 제품영업",서울 서초구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49428059,감성코퍼레이션
49518364,신입,2026-07-20 00:19:07,2026-07-20,패션플랫폼㈜,패션플랫폼  데코 영업MD 경력자 모집,"섬유·의류·패션, 브랜드마케터, CRM마케터, MD",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49518364,패션플랫폼
49432259,신입,2026-07-20 00:19:07,2026-07-20,㈜티앤엘,티앤엘(포브스 아시아 200대 유망기업) 공정&제품 개발 담당자 증원,"제약·보건·바이오, R&D·연구원",경기 안성시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49432259,티앤엘
49453507,신입,2026-07-20 00:19:07,2026-07-20,㈜크레버스,[에이프릴어학원 안양평촌캠퍼스 직영] 초등영어한인강사(Bilingual) 모집,"학원·어학원·교육원, 학원강사, 외국어강사, 학원상담·운영",경기 안양시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49453507,크레버스
49596964,신입,2026-07-20 00:19:07,2026-07-20,㈜휴온스메디텍,[휴온스그룹] 휴온스메디텍 의료기기 영업직 모집,"제약·보건·바이오, 제품영업, 영업관리",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49596964,휴온스
49594209,신입,2026-07-20 00:19:07,2026-07-20,㈜대림제지,구매팀(자재관리) 직원채용,"목재·제지·가구, 물류관리자, 구매관리자, 자재관리자",경기 오산시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49594209,대림제지
49466396,신입,2026-07-20 00:19:07,2026-07-20,㈜아이비김영,[메가스터디교육] 김영편입 단과캠퍼스(강남/신촌) 학원운영(신규/경력),"학원·어학원·교육원, 온라인마케터, 학원상담·운영",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49466396,아이비김영
49597773,신입,2026-07-20 00:19:07,2026-07-20,㈜동방메디컬,동방메디컬 패키지&시각 그래픽 디자이너  채용,"제약·보건·바이오, 그래픽디자이너, 시각디자이너",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49597773,동방메디컬
49502687,글로벌,2026-07-20 00:19:07,2026-07-20,한국애보트㈜,[애보트메디칼코리아] Structural Heart Therapy Specialist (MitraClip),"제약·보건·바이오, 제품영업",서울 강남구,경력3년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49502687,한국애보트
49606289,글로벌,2026-07-20 00:19:07,2026-07-20,우리산업㈜,우리산업(주) 용인연구소 S/W 담당자 채용,"자동차·조선·철강·항공, 소프트웨어개발자, 전기·전자엔지니어, R&D·연구원",경기 용인시,경력2년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49606289,우리산업
49454075,글로벌,2026-07-20 00:19:07,2026-07-20,휴젤(주),[바이오제약/화장품전문기업] 사업개발 포지션,"생활화학·화장품, 경영·비즈니스기획",서울 강남구,경력1년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49454075,휴젤
49591047,브랜드,2026-07-20 00:19:07,2026-07-20,㈜머큐리코퍼레이션,온라인 MD 경력직 채용(네이버 스마트스토어 경력자),"생활용품·소비재·기타, 퍼포먼스마케터, CRM마케터, 온라인마케터",서울 영등포구,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49591047,머큐리
49608846,마케팅,2026-07-21 07:09:39,2026-07-21,원텍㈜,[코스닥상장사] 원텍(주) 소셜 콘텐츠 기획 담당,"제약·보건·바이오, 콘텐츠마케터",경기 성남시,경력2년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49608846,원텍
49610079,신입,2026-07-21 07:09:39,2026-07-21,㈜코텍,(주)코텍 연구소 기구개발 신입사원 채용,"반도체·디스플레이·광학, 설계엔지니어",인천 연수구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49610079,코텍
49620995,신입,2026-07-21 07:09:39,2026-07-21,㈜금비,(주)금비 이천공장 요로팀 신입 및 경력사원 모집,"금속·재료·자재, 생산·공정관리자, 품질관리자, 공장관리자",경기 이천시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49620995,금비
49620747,신입,2026-07-21 07:09:39,2026-07-21,오스템파마㈜,"오스템파마 성형재료사업부 성형외과,피부과 영업 사원 채용(신입/경력)","제약·보건·바이오, 제품영업, 법인영업, 영업관리",서울 강서구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49620747,오스템
49616589,신입,2026-07-21 07:09:39,2026-07-21,㈜크레버스 영재관 마포 제1지점,관악 CMS 영재관 총무직원 모집,"학원·어학원·교육원, 총무",서울 관악구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49616589,크레버스
49620041,글로벌,2026-07-21 07:09:39,2026-07-21,㈜실리콘투,[실리콘투] 투자 실무자 채용,"쇼핑몰·오픈마켓·소셜커머스, IR·공시",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49620041,실리콘투
49621292,마케팅,2026-07-21 23:59:26,2026-07-21,㈜유유제약,[유유제약] 종합병원 영업직원(서울지점) 채용,"제약·보건·바이오, 제품영업, 법인영업, 영업관리",서울 중구,"경력2년↑
",,,https://www.jobkorea.co.kr/Recruit/GI_Read/49621292,유유제약
49625044,글로벌,2026-07-21 23:59:26,2026-07-21,코스맥스엔비티㈜,생산공정 자동화 경력직원 모집,"제약·보건·바이오, 기계엔지니어, 공정엔지니어",경기 이천시,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49625044,코스맥스엔비티
49628100,마케팅,2026-07-23 00:05:31,2026-07-23,㈜디알젬,(주)디알젬 해외마케팅 경력사원 모집,"전기·전자·제어, 마케팅기획, 온라인마케터",경기 광명시 외 5,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49628100,디알젬
49503707,해외영업,2026-07-24 00:06:19,2026-07-24,고려신용정보㈜,[TM/영업방문]고려신용정보(주) 채권관리사 특별모집(정착지원금 제공),"캐피탈·대출, 법인영업, 영업관리, 아웃바운드상담원",서울 강동구,경력무관,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49503707,고려신용정보
49506937,신입,2026-07-24 00:06:19,2026-07-24,㈜코텍,(주)코텍 연구소 FW개발(신입/경력) 사원 채용,"반도체·디스플레이·광학, 전기·전자엔지니어",인천 연수구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49506937,코텍
49640500,신입,2026-07-24 00:06:19,2026-07-24,㈜유라테크,[유라테크] CAE 해석 엔지니어 채용 (신입/경력),"전기·전자·제어, 전기·전자엔지니어, 설계엔지니어, R&D·연구원",세종,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49640500,유라테크
49635201,신입,2026-07-24 00:06:19,2026-07-24,한일철강㈜,[코스피/중견] 한일철강(주) 철강영업 신입 및 경력사원 채용,신입·경력3년↑,서울 중구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49635201,한일철강
