rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54483099,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,농협손해보험(주),농협손해보험(주) 인콜상담업무,"인바운드, ,, 콜센터/고객센터, ,, 아웃바운드, ,, 상담원, ,, 해피콜, 외",경기 수원시 팔달구,경력무관,학력무관,프리랜서,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54483099
54346308,마케팅,2026-07-20 00:58:18,2026-07-02,등록일,(주)사람인에이치에스,[로에베/LVMH/럭셔리] 로에베 현대 본점 CA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 1~4년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54346308
54385003,마케팅,2026-07-20 00:58:18,2026-07-06,등록일,템프인(주),[선릉/연봉협의/일어/신입O/정규직]일본계기업 영업직(반도체),"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",서울 강남구,경력무관,초대졸↑,정규직,~08/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54385003
54225958,마케팅,2026-07-20 00:58:18,2026-06-19,등록일,인카금융서비스(주),[인천]인카 1등 제이어스라이프 신입/경력 보험설계사 모집,"보험상담, ,, 보험사",인천 부평구,경력무관,학력무관,프리랜서,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54225958
54460457,마케팅,2026-07-20 00:58:18,2026-07-14,등록일,(주)사람인에이치에스,[정규직/LVMH/패션그룹] 셀린느 청담플래그쉽 SCA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 3~8년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54460457
54257426,마케팅,2026-07-20 00:58:18,2026-06-23,등록일,(주)사람인에이치에스,[중견/경기] 화장품용기/부자재 영업직 경력 채용(3년 이상),"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",경기 군포시,경력3년↑,초대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54257426
54394408,마케팅,2026-07-20 00:58:18,2026-07-13,수정일,(주)맨파워그룹코리아,[맨파워] 본사 경력직 채용 공고문,"영업관리, ,, 영업지원, ,, 고객관리, ,, 인사, ,, 인재발굴, 외",서울 강남구,경력 1~10년,초대졸↑,정규직·인턴직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54394408
54499215,마케팅,2026-07-20 00:58:18,2026-07-20,등록일,교보생명보험(주),교보생명보험(주)에서 기업 재무 컨설팅 전문가를 찾고 있어요,"마케팅전략, ,, 마케팅, ,, 영업마케팅, ,, 마케팅기획, ,, 영업, 외",서울 서초구,경력5년↑,대졸↑,,~08/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54499215
54481515,마케팅,2026-07-20 00:58:18,2026-07-16,등록일,퍼솔켈리코리아(유),[글로벌 프리미엄 가전 브랜드] Business Finance Specialist,"재무기획, ,, 실적관리, ,, KPI관리, ,, 재무, ,, 테마파크",서울 강남구,경력5년↑,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54481515
54338093,마케팅,2026-07-20 00:58:18,2026-07-01,수정일,(주)사람인에이치에스,[정규직/LVMH/패션그룹] 셀린느 롯데본점 SCA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 3~8년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54338093
